# Property: 'Temp2'
# seconds(absolute)  y   time(relative)
-1622     17.3422     13/12/24T14:33:37
-1618     17.3319     13/12/24T14:33:41
-1614     17.3422     13/12/24T14:33:45
-1610     17.3525     13/12/24T14:33:49
-1606     17.3628     13/12/24T14:33:53
-1600     17.3525     13/12/24T14:33:59
-1594     17.3628     13/12/24T14:34:05
-1591     17.373     13/12/24T14:34:08
-1582     17.4039     13/12/24T14:34:17
-1579     17.3628     13/12/24T14:34:20
-1576     17.3525     13/12/24T14:34:23
-1574     17.3628     13/12/24T14:34:25
-1572     17.3525     13/12/24T14:34:27
-1567     17.3319     13/12/24T14:34:32
-1566     17.3422     13/12/24T14:34:33
-1562     17.3525     13/12/24T14:34:37
-1558     17.3628     13/12/24T14:34:41
-1556     17.3525     13/12/24T14:34:43
-1552     17.3628     13/12/24T14:34:47
-1550     17.3525     13/12/24T14:34:49
-1546     17.3422     13/12/24T14:34:53
-1534     17.3525     13/12/24T14:35:05
-1532     17.3422     13/12/24T14:35:07
-1526     17.3525     13/12/24T14:35:13
-1519     17.3628     13/12/24T14:35:20
-1518     17.3525     13/12/24T14:35:21
-1507     17.3628     13/12/24T14:35:32
-1500     17.373     13/12/24T14:35:39
-1495     17.3628     13/12/24T14:35:44
-1494     17.373     13/12/24T14:35:45
-1489     17.3936     13/12/24T14:35:50
-1486     17.3833     13/12/24T14:35:53
-1477     17.373     13/12/24T14:36:02
-1471     17.3628     13/12/24T14:36:08
-1456     17.3422     13/12/24T14:36:23
-1453     17.3525     13/12/24T14:36:26
-1452     17.3422     13/12/24T14:36:27
-1448     17.3525     13/12/24T14:36:31
-1446     17.3422     13/12/24T14:36:33
-1441     17.3319     13/12/24T14:36:38
-1436     17.3422     13/12/24T14:36:43
-1434     17.3525     13/12/24T14:36:45
-1430     17.3422     13/12/24T14:36:49
-1428     17.3319     13/12/24T14:36:51
-1424     17.3422     13/12/24T14:36:55
-1418     17.3319     13/12/24T14:37:01
-1416     17.3216     13/12/24T14:37:03
-1411     17.3319     13/12/24T14:37:08
-1405     17.3422     13/12/24T14:37:14
-1402     17.3833     13/12/24T14:37:17
-1399     17.3525     13/12/24T14:37:20
-1398     17.3422     13/12/24T14:37:21
-1394     17.3319     13/12/24T14:37:25
-1390     17.3422     13/12/24T14:37:29
-1384     17.3525     13/12/24T14:37:35
-1380     17.3422     13/12/24T14:37:39
-1376     17.3525     13/12/24T14:37:43
-1372     17.3628     13/12/24T14:37:47
-1370     17.3525     13/12/24T14:37:49
-1363     17.3422     13/12/24T14:37:56
-1362     17.3525     13/12/24T14:37:57
-1357     17.3628     13/12/24T14:38:02
-1356     17.3525     13/12/24T14:38:03
-1350     17.3628     13/12/24T14:38:09
-1321     17.3422     13/12/24T14:38:38
-1315     17.3525     13/12/24T14:38:44
-1312     17.3422     13/12/24T14:38:47
-1306     17.3525     13/12/24T14:38:53
-1304     17.3628     13/12/24T14:38:55
-1302     17.3525     13/12/24T14:38:57
-1291     17.3422     13/12/24T14:39:08
-1290     17.3319     13/12/24T14:39:09
-1286     17.3422     13/12/24T14:39:13
-1282     17.3319     13/12/24T14:39:17
-1278     17.3216     13/12/24T14:39:21
-1272     17.3319     13/12/24T14:39:27
